heap,bptree,hash,sequential,isam,brin,rtree
0.0939,0.2832,0.1998,0.401,0.3679,0.2749,1.8501
0.1097,0.2718,0.1962,0.4282,0.4489,0.2689,1.4338
0.0949,0.2651,0.1929,0.3951,0.386,0.3002,1.8582
0.087,0.2711,0.1912,0.3812,0.417,0.2789,1.4038
0.087,0.2708,0.232,0.38,0.3967,0.2711,1.9631
0.0901,0.3951,0.1862,0.4108,0.3691,0.278,1.8749
0.0861,0.3908,0.2539,0.4301,0.3819,0.2911,2.0351
0.093,0.3443,0.1941,0.3891,0.2618,0.2668,1.291
0.0839,0.3741,0.196,0.3922,0.3572,0.2799,1.791
0.087,0.3557,0.195,0.4151,0.3591,0.2739,1.9391
0.0899,0.3009,0.2,0.4079,0.3541,0.2928,1.874
0.0899,0.277,0.1822,0.3881,0.355,0.2723,1.8981
0.087,0.2713,0.2239,0.3903,0.3562,0.3111,1.2679
0.0992,0.2751,0.1838,0.3901,0.3679,0.2701,1.9999
0.097,0.3138,0.1972,0.3963,0.371,0.3231,1.39
0.1011,0.2718,0.267,0.3977,0.3541,0.2849,1.6718
0.1781,0.4432,0.2,0.412,0.3619,0.2692,2.1048
0.1092,0.277,0.1829,0.3979,0.391,0.3016,4.8511
0.0908,0.2739,0.1872,0.3991,0.386,0.272,2.0401
0.0908,0.2658,0.1788,0.406,0.3722,0.293,1.6911
0.1051,0.298,0.2251,0.4041,0.356,0.2632,1.8091
0.0839,0.314,0.2158,0.438,0.3998,0.3209,1.8299
0.0861,0.2873,0.2029,0.3998,0.386,0.2701,1.9519
0.087,0.2489,0.211,0.4013,0.4008,0.267,1.3897
0.0868,0.277,0.2251,0.407,0.3622,0.2799,5.6651
0.088,0.2739,0.181,0.401,0.278,0.3068,1.9929
0.0868,0.32,0.1888,0.3989,0.3631,0.385,1.919
0.0839,0.267,0.1781,0.4222,0.407,0.3037,1.3561
0.087,0.2711,0.2079,0.4051,0.3898,0.3059,1.3938
0.0861,0.3049,0.1788,0.4208,0.375,0.2832,1.9569
0.0918,0.309,0.1721,0.402,0.3731,0.299,1.3978
0.0892,0.2801,0.1748,0.3891,0.3679,0.2851,1.931
0.0892,0.283,0.1709,0.3986,0.392,0.361,1.8172
0.087,0.2749,0.2141,0.3912,0.3724,0.2959,1.9548
0.088,0.278,0.1771,0.3929,0.3722,0.268,1.9472
0.0889,0.2759,0.1802,0.4086,0.3912,0.2708,2.0511
0.0999,0.4733,0.2048,0.412,0.3767,0.288,1.5881
0.0923,0.2739,0.1853,0.3848,0.3672,0.2933,1.802
0.1111,0.2649,0.1731,0.4051,0.2968,0.263,1.967
0.0877,0.2661,0.1771,0.3939,0.3641,0.2561,2.028
0.082,0.268,0.1788,0.3941,0.3808,0.298,1.9116
0.097,0.2909,0.1779,0.3822,0.391,0.294,1.4241
0.0951,0.2697,0.2182,0.4072,0.3769,0.278,1.9479
0.087,0.2701,0.18,0.4311,0.386,0.2661,1.3683
0.0892,0.4568,0.216,0.397,0.3929,0.298,1.3418
0.087,0.3171,0.181,0.3912,0.463,0.2811,1.8361
0.0839,0.2661,0.174,0.407,0.3829,0.2749,1.8201
0.0958,0.2611,0.1709,0.4013,0.3583,0.2871,1.9248
